"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Receive Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Inst Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"11","01700000000000Auto60_1720240401","Auto60_17","2024-04-16","Payment","E","17","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11598","P090003410358","","0105556078229","011246950427892","2024-05-01","",""
"12","01800000000000Auto60_1820240401","Auto60_18","2024-04-16","Submit Error","E","18","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","1","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11599","","","","","","",""
"13","01900000000000Auto60_1920240401","Auto60_19","2024-04-16","Payment","E","19","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","100.00","","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11600","P090003410359","","0105556078229","011246950629052","2024-05-01","",""
"14","002000000000000Auto60_220240401","Auto60_2","2024-04-16","Payment","Non-E","2","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","3","2.00","0.00","2.00","0.00","0.00","0.00","0.00","2.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11581","P090003410334","","0105556078229","011246946833692","2024-05-01","",""
"15","02000000000000Auto60_2020240401","Auto60_20","2024-04-16","Payment Error","E","20","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","10000.00","","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11601","P090003410360","","0105556078229","011246950830232","2024-05-01","",""
"16","02100000000000Auto60_2120240401","Auto60_21","2024-04-16","Payment Error","E","21","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11602","P090003410361","","0105556078229","011246951026062","2024-05-01","",""
"17","2710000000000Auto60_27120240401","Auto60_271","2024-04-16","Payment","E","271","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","100.00","0.00","100.00","0.00","0.00","0.00","0.00","100.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11603","P090003410362","","0105556078229","011246951227302","2024-05-01","",""
"18","2720000000000Auto60_27220240401","Auto60_272","2024-04-16","Submit Error","E","272","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","50.00","0.00","50.00","0.00","0.00","0.00","0.00","50.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11604","","","","","","",""
"19","003000000000000Auto60_320240401","Auto60_3","2024-04-16","Payment Error","E","3","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","52000.00","1","52.00","0.00","52.00","0.00","0.00","0.00","0.00","52.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11582","P090003410335","","0105556078229","011246947033152","2024-05-01","",""
"20","004000000000000Auto60_420240401","Auto60_4","2024-04-16","Payment Error","E","4","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","20000.00","","20.00","0.00","20.00","0.00","0.00","0.00","0.00","20.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11583","P090003410336","","0105556078229","011246947230722","2024-05-01","",""
"21","005000000000000Auto60_520240401","Auto60_5","2024-04-16","Payment Error","E","5","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","88000.00","","44.00","0.00","44.00","0.00","0.00","0.00","0.00","44.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11584","P090003410337","","0105556078229","011246947436202","2024-05-01","",""
"22","006000000000000Auto60_620240401","Auto60_6","2024-04-16","Payment Error","E","6","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","1000000.00","2","20.00","0.00","20.00","0.00","0.00","0.00","0.00","20.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11585","P090003410338","","0105556078229","011246947633082","2024-05-01","",""
"23","007000000000000Auto60_720240401","Auto60_7","2024-04-16","Payment","E","7","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","","1","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11586","P090003410339","","0105556078229","011246947833532","2024-05-01","",""
"24","008000000000000Auto60_820240401","Auto60_8","2024-04-16","Payment","E","8","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","","1","20.00","0.00","20.00","0.00","0.00","0.00","0.00","20.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11587","P090003410340","","0105556078229","011246948030072","2024-05-01","",""
"25","09100000000000Auto60_9120240401","Auto60_91","2024-04-16","Payment Error","Non-E","91","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","3.00","0.00","3.00","0.00","0.00","0.00","0.00","3.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11588","P090003410341","","0105556078229","011246948231922","2024-05-01","",""
"26","09200000000000Auto60_9220240401","Auto60_92","2024-04-16","Payment Error","E","92","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","9000.00","","3.00","0.00","3.00","0.00","0.00","0.00","0.00","3.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-04-21","2024-04-17","","11589","P090003410342","","0105556078229","011246948433102","2024-05-01","",""
"27","001000000000000Auto70_120240601","Auto70_1","2024-06-16","Payment","E","1","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","51000.00","","51.00","0.00","51.00","0.00","0.00","0.00","0.00","51.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22018","P090003483075","","0105556078229","011307138531632","2024-07-01","",""
"28","01000000000000Auto70_1020240601","Auto70_10","2024-06-16","Payment Error","E","10","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","2.00","0.00","2.00","0.00","0.00","0.00","0.00","2.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22032","P090003483079","","0105556078229","011307139328042","2024-07-01","",""
"29","1110000000000Auto70_11120240601","Auto70_111","2024-06-16","Payment","E","111","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","80000.00","3","5.00","0.00","5.00","0.00","0.00","0.00","0.00","5.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22033","P090003483080","","0105556078229","011307139531352","2024-07-01","",""
"30","1120000000000Auto70_11220240601","Auto70_112","2024-06-16","Payment","Non-E","112","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","5000.00","","50.00","0.00","50.00","0.00","0.00","0.00","0.00","50.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22034","P090003483081","","0105556078229","011307139732632","2024-07-01","",""
"31","01200000000000Auto70_1220240601","Auto70_12","2024-06-16","Payment","Non-E","12","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","3.00","0.00","3.00","0.00","0.00","0.00","0.00","3.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22035","P090003483082","","0105556078229","011307139932292","2024-07-01","",""
"32","01400000000000Auto70_1420240601","Auto70_14","2024-06-16","Payment","E","14","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","50000.00","1","30.00","0.00","30.00","0.00","0.00","0.00","0.00","30.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22037","P090003483084","","0105556078229","011307140324472","2024-07-01","",""
"33","01500000000000Auto70_1520240601","Auto70_15","2024-06-16","Payment","Non-E","15","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","3.00","0.00","3.00","0.00","0.00","0.00","0.00","3.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22038","P090003483085","","0105556078229","011307140525592","2024-07-01","",""
"34","01600000000000Auto70_1620240601","Auto70_16","2024-06-16","Payment","E","16","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22039","P090003483086","","0105556078229","011307140725352","2024-07-01","",""
"35","01700000000000Auto70_1720240601","Auto70_17","2024-06-16","Submit Error","E","17","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22040","","","","","","",""
"36","01800000000000Auto70_1820240601","Auto70_18","2024-06-16","Submit Error","E","18","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","1","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22041","","","","","","",""
"37","01900000000000Auto70_1920240601","Auto70_19","2024-06-16","Payment","E","19","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","100.00","","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22042","P090003483087","","0105556078229","011307140926532","2024-07-01","",""
"38","002000000000000Auto70_220240601","Auto70_2","2024-06-16","Submit Error","Non-E","2","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","3","2.00","0.00","2.00","0.00","0.00","0.00","0.00","2.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22019","","","","","","",""
"39","02000000000000Auto70_2020240601","Auto70_20","2024-06-16","Payment","E","20","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","10000.00","","1.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22043","P090003483088","","0105556078229","011307141122342","2024-07-01","",""
"40","02100000000000Auto70_2120240601","Auto70_21","2024-06-16","Submit Error","E","21","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22044","","","","","","",""
"41","2710000000000Auto70_27120240601","Auto70_271","2024-06-16","Payment","E","271","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","100.00","0.00","100.00","0.00","0.00","0.00","0.00","100.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22045","P090003483089","","0105556078229","011307141323602","2024-07-01","",""
"42","2720000000000Auto70_27220240601","Auto70_272","2024-06-16","Payment","E","272","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","50.00","0.00","50.00","0.00","0.00","0.00","0.00","50.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22046","P090003483090","","0105556078229","011307141527642","2024-07-01","",""
"43","003000000000000Auto70_320240601","Auto70_3","2024-06-16","Payment Error","E","3","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","52000.00","1","52.00","0.00","52.00","0.00","0.00","0.00","0.00","52.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22024","P090003483076","","0105556078229","011307138733522","2024-07-01","",""
"44","004000000000000Auto70_420240601","Auto70_4","2024-06-16","Submit Error","E","4","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","20000.00","","20.00","0.00","20.00","0.00","0.00","0.00","0.00","20.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22025","","","","","","",""
"45","005000000000000Auto70_520240601","Auto70_5","2024-06-16","Submit Error","E","5","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","88000.00","","44.00","0.00","44.00","0.00","0.00","0.00","0.00","44.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22026","","","","","","",""
"46","006000000000000Auto70_620240601","Auto70_6","2024-06-16","Payment","E","6","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","1000000.00","2","20.00","0.00","20.00","0.00","0.00","0.00","0.00","20.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22027","P090003483077","","0105556078229","011307138931092","2024-07-01","",""
"47","007000000000000Auto70_720240601","Auto70_7","2024-06-16","Submit Error","E","7","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","","1","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22028","","","","","","",""
"48","008000000000000Auto70_820240601","Auto70_8","2024-06-16","Submit Error","E","8","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","","1","20.00","0.00","20.00","0.00","0.00","0.00","0.00","20.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22029","","","","","","",""
"49","09100000000000Auto70_9120240601","Auto70_91","2024-06-16","Submit Error","Non-E","91","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","3.00","0.00","3.00","0.00","0.00","0.00","0.00","3.00","0105556078229","17*****82","สม**","Au*****0_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-06-21","2024-06-24","","22030","","","","","","",""
