"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Import Contract Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Contract Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Period Submit","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"12","00400TC4_TS7-499_Hybrid20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","00400TC4_TS7-499_Hybrid20230901","TC4_TS7-499_Hybrid","2023-09-18","0.00","8000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-29","","","17570","P090001918136","","0105556078229","161046253427842","2023-10-16","",""
"13","00400TC4_TS8-499_Hybrid20230900","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS8-499_Hybrid","2023-09-01","4.00","5200.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","3","2023-09-19","","","17571","P090001917946","","0105556078229","031046215627622","2023-10-03","",""
"14","00400TC4_TS8-499_Hybrid20230900","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","1","0","0","00400TC4_TS8-499_Hybrid20230900","TC4_TS8-499_Hybrid","2023-09-18","0.00","8000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-29","","","17572","P090001918137","","0105556078229","161046253629022","2023-10-16","",""
"15","00400TC4_TS9-494_Hybrid20230900","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS9-494_Hybrid","2023-04-21","15.00","17000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-26","","","17746","P090001923805","","0105556078229","101046286831942","2023-10-10","",""
"16","0010TC1_TS12-949_Hybrid2023090302","","","Completed","Non-E","1","","","","ยื่นเพิ่มเติม","0","0","0","0010TC1_TS12-949_Hybrid2023090201","TC1_TS12-949_Hybrid","2023-09-15","3.00","14900.00","","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","3","2023-09-20","","","13682","P090001806083","","0105556078229","041026273428242","2023-10-04","",""
"17","001TC1_TS14-44949_additional2023090301","","","Completed","Non-E","1","","","","ยื่นเพิ่มเติม","1","0","0","001TC1_TS14-44949_additional2023090301","TC1_TS14-44949_additional","2023-09-17","3.00","13000.00","","4.00","0.00","4.00","0.00","0.00","","","4.00","1","-1","","","","","","","","","","","","","","","","","","","additional","3","2023-09-20","","","13920","P090001816611","","0105556078229","041026276430542","2023-10-04","",""
"18","0020000000000TC2_1509232023090402","","","Completed","E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_150923","2023-08-15","0.00","44000.00","2","24.00","0.00","24.00","0.00","0.00","","","24.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-27","","","14183","P090001831701","","0105556078229","111026285029142","2023-10-11","",""
"19","0020000000000TC2_1509232023090403","","","Completed","E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_150923","2023-08-15","0.00","60000.00","1","16.00","0.00","16.00","0.00","0.00","","","16.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-30","","","14186","P090001839061","","0105556078229","161026286433672","2023-10-16","",""
"20","0020TC2_TS10-494_Hybrid2023090401","","","Completed","E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS10-494_Hybrid","2023-08-29","1.00","5000.00","1","4.00","0.00","4.00","0.00","0.00","","","4.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-28","","","15113","P090001897569","","0105556078229","121036215226352","2023-10-12","",""
"21","0020TC2_TS11-949_Hybrid2023090201","","","Completed","E","2","","","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","1","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","2","2023-09-17","","","15399","P090001903168","","0105556078229","021036216426472","2023-10-02","",""
"22","0020TC2_TS11-949_Hybrid2023090201","","","Completed","E","2","","","","ยื่นเพิ่มเติม","1","0","0","0020TC2_TS11-949_Hybrid2023090201","TC2_TS11-949_Hybrid","2023-09-16","3.00","9000.00","1","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-28","","","15421","P090001917933","","0105556078229","121046213125722","2023-10-12","",""
"23","0020TC2_TS12-949_Hybrid2023090201","","","Completed","E","2","","","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","1","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","2","2023-09-17","","","15399","P090001903169","","0105556078229","021036216426472","2023-10-02","",""
"24","0020TC2_TS12-949_Hybrid2023090402","","","Completed","E","2","","","","ยื่นเพิ่มเติม","0","0","0","0020TC2_TS12-949_Hybrid2023090201","TC2_TS12-949_Hybrid","2023-09-16","3.00","9000.00","1","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-28","","","15443","P090001917934","","0105556078229","121046213326902","2023-10-12","",""
"25","002TC2_TS13-4449_additional2023090401","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS13-4449_additional","2023-06-30","48.00","50000.00","2","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-28","","","15553","P090001903179","","0105556078229","121036217728942","2023-10-12","",""
"26","002TC2_TS14-44949_additional2023090201","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","1","0","0","002TC2_TS14-44949_additional2023090201","TC2_TS14-44949_additional","2023-09-15","2.00","55000.00","2","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-30","","","15619","P090001917935","","0105556078229","161046213528842","2023-10-16","",""
"27","002TC2_TS14-44949_additional2023090201","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS14-44949_additional","2023-06-30","23.00","48000.00","2","25.00","0.00","25.00","0.00","0.00","","","25.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","15607","P090001903219","","0105556078229","021036218129352","2023-10-02","",""
"28","002TC2_TS4-4999_additonal2023090201","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS4-4999_additonal","2023-08-15","1.00","20000.00","1","19.00","0.00","19.00","0.00","0.00","","","19.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","2","2023-09-16","","","14187","P090001831707","","0105556078229","021026285635522","2023-10-02","",""
"29","002TC2_TS4-4999_additonal-12023090201","","","Completed","E","2","","","","ยื่นเพิ่มเติม","1","0","0","002TC2_TS4-4999_additonal-12023090201","TC2_TS4-4999_additonal-1","2023-09-15","0.00","44000.00","2","24.00","0.00","24.00","0.00","0.00","","","24.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-27","","","14362","P090001872000","","0105556078229","111026297935942","2023-10-11","",""
"30","002TC2_TS4-4999_additonal-12023090201","","","Completed","E","2","","","","ยื่นเพิ่มเติม","2","0","0","002TC2_TS4-4999_additonal-12023090201","TC2_TS4-4999_additonal-1","2023-09-15","0.00","60000.00","1","16.00","0.00","16.00","0.00","0.00","","","16.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-30","","","14557","P090001917928","","0105556078229","161046212026802","2023-10-16","",""
"31","002TC2_TS4-4999_additonal-12023090201","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS4-4999_additonal-1","2023-08-15","1.00","20000.00","1","19.00","0.00","19.00","0.00","0.00","","","19.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","14355","P090001841763","","0105556078229","021026290230942","2023-10-02","",""
"32","002TC2_TS5-49499_increase2023090301","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS5-49499_increase","2023-08-25","1.00","1500.00","1","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","3","2023-09-18","","","14197","P090001841712","","0105556078229","021026287026632","2023-10-02","",""
"33","002TC2_TS5-49499_increase2023090302","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS5-49499_increase","2023-08-25","2.00","6600.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","3","2023-09-24","","","14566","P090001872003","","0105556078229","091026298332112","2023-10-09","",""
"34","002TC2_TS5-49499_increase2023090403","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS5-49499_increase","2023-08-25","0.00","14000.00","1","7.00","0.00","7.00","0.00","0.00","","","7.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-27","","","14575","P090001917929","","0105556078229","111046212227012","2023-10-11","",""
"35","002TC2_TS6-49499_additional2023090301","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","1","0","0","002TC2_TS6-49499_additional2023090301","TC2_TS6-49499_additional","2023-09-17","0.00","6600.00","1","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","additional","3","2023-09-24","","","14592","P090001872007","","0105556078229","091026298937072","2023-10-09","",""
"36","002TC2_TS6-49499_additional2023090301","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","2","0","0","002TC2_TS6-49499_additional2023090301","TC2_TS6-49499_additional","2023-09-17","0.00","14000.00","1","7.00","0.00","7.00","0.00","0.00","","","7.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-27","","","14597","P090001917930","","0105556078229","111046212428192","2023-10-11","",""
"37","002TC2_TS6-49499_additional2023090301","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS6-49499_additional","2023-08-25","1.00","1500.00","1","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","3","2023-09-18","","","14401","P090001841825","","0105556078229","021026290828072","2023-10-02","",""
"38","00200TC2_TS7-499_Hybrid2023090401","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","00200TC2_TS7-499_Hybrid2023090401","TC2_TS7-499_Hybrid","2023-09-26","0.00","3750.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-28","","","14862","P090001917931","","0105556078229","121046212625302","2023-10-12","",""
"39","00200TC2_TS7-499_Hybrid2023090401","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS7-499_Hybrid","2023-08-30","2.00","2300.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-27","","","14860","P090001872104","","0105556078229","111036202724962","2023-10-11","",""
"40","00200TC2_TS8-499_Hybrid2023090401","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS8-499_Hybrid","2023-08-30","2.00","2300.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-27","","","14864","P090001872105","","0105556078229","111036202926142","2023-10-11","",""
"41","00200TC2_TS8-499_Hybrid2023090401","","","Completed","Non-E","2","","","","ยื่นเพิ่มเติม","1","0","0","00200TC2_TS8-499_Hybrid2023090401","TC2_TS8-499_Hybrid","2023-09-26","0.00","3750.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-28","","","14866","P090001917932","","0105556078229","121046212826482","2023-10-12","",""
"42","00200TC2_TS9-494_Hybrid2023090401","","","Completed","E","2","","","","ยื่นเพิ่มเติม","0","0","0","","TC2_TS9-494_Hybrid","2023-08-29","1.00","5000.00","1","4.00","0.00","4.00","0.00","0.00","","","4.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-28","","","15047","P090001897568","","0105556078229","121036215025172","2023-10-12","",""
"43","0030TC3_TS10-494_Hybrid2023090401","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS10-494_Hybrid","2023-04-21","3.00","3800.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-26","","","17242","P090001916921","","0105556078229","101046210322092","2023-10-10","",""
"44","0030TC3_TS11-949_Hybrid20230901","","","Completed","E","3","","","","ยื่นปกติ","0","0","0","","","","0.00","2500.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","3","2023-09-21","","","17551","P090001917936","","0105556078229","051046213830962","2023-10-05","",""
"45","0030TC3_TS12-949_Hybrid20230901","","","Completed","E","3","","","","ยื่นปกติ","0","0","0","","","","0.00","2500.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","3","2023-09-21","","","17551","P090001917937","","0105556078229","051046213830962","2023-10-05","",""
"46","003TC3_TS13-4449_additional20230901","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS13-4449_additional","2023-08-11","3.00","3500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-29","","","17556","P090001917939","","0105556078229","161046214224762","2023-10-16","",""
"47","003TC3_TS14-44949_additional20230901","","","Completed","E","3","","","","ยื่นเพิ่มเติม","1","0","0","003TC3_TS14-44949_additional20230901","TC3_TS14-44949_additional","2023-09-15","1.00","4500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-29","","","17624","P090001918091","","0105556078229","161046243627882","2023-10-16","",""
"48","003TC3_TS14-44949_additional20230901","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS14-44949_additional","2023-08-11","2.00","2500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","17557","P090001917940","","0105556078229","021046214425012","2023-10-02","",""
"49","003TC3_TS3-4999_increase2023090201","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS3-4999_increase","2023-08-15","1.00","1500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","2","2023-09-16","","","16753","P090001916872","","0105556078229","021046207325582","2023-10-02","",""
"50","003TC3_TS3-4999_increase2023090302","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS3-4999_increase","2023-08-15","0.00","2500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","3","2023-09-23","","","17136","P090001918085","","0105556078229","091046242426572","2023-10-09","",""
"51","003TC3_TS4-4999_additional2023090201","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS4-4999_additional","2023-08-15","1.00","1500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","17139","P090001916873","","0105556078229","021046207526762","2023-10-02","",""
"52","003TC3_TS5-49499_increase20230901","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS5-49499_increase","2022-08-29","3.00","8500.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-27","","","17620","P090001918087","","0105556078229","111046242829002","2023-10-11","",""
"53","003TC3_TS5-49499_increase2023090201","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS5-49499_increase","2022-08-29","2.00","2500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","2","2023-09-16","","","17161","P090001916875","","0105556078229","021046207929122","2023-10-02","",""
"54","003TC3_TS6-49499_additional2023090201","","","Completed","E","3","","","","ยื่นเพิ่มเติม","1","0","0","003TC3_TS6-49499_additional2023090201","TC3_TS6-49499_additional","2023-09-15","3.00","8500.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-27","","","17622","P090001918088","","0105556078229","111046243024812","2023-10-11","",""
"55","003TC3_TS6-49499_additional2023090201","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS6-49499_additional","2022-08-29","2.00","2500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","17171","P090001916876","","0105556078229","021046208124932","2023-10-02","",""
"56","00300TC3_TS7-499_Hybrid2023090401","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","00300TC3_TS7-499_Hybrid2023090301","TC3_TS7-499_Hybrid","2023-09-18","0.00","6100.00","2","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-29","","","17191","P090001918089","","0105556078229","161046243226232","2023-10-16","",""
"57","00300TC3_TS8-499_Hybrid2023090301","","","Completed","E","3","","","","ยื่นเพิ่มเติม","1","0","0","00300TC3_TS8-499_Hybrid2023090301","TC3_TS8-499_Hybrid","2023-09-18","0.00","6100.00","2","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-29","","","17212","P090001918090","","0105556078229","161046243427412","2023-10-16","",""
"58","00300TC3_TS8-499_Hybrid2023090301","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS8-499_Hybrid","2023-09-01","3.00","4100.00","2","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","3","2023-09-19","","","17203","P090001916883","","0105556078229","031046208930552","2023-10-03","",""
"59","006TC6_TS3-4999_increase20231001","","","Completed","E","6","","","","ยื่นเพิ่มเติม","0","0","0","","TC6_TS3-4999_increase","2023-08-15","0.00","12500.00","3","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","2","2023-10-14","","","24689","P090001944680","","0105556078229","301066285130372","2023-10-30","",""
"60","0100000000TC10-6463327520231001","","","Completed","E","10","","","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","1","2023-10-07","","","21546","P090001943058","","0105556078229","241066227328492","2023-10-24","",""
"61","111000000TC111-6463327520231001","","","Completed","E","111","","","","ยื่นปกติ","0","0","0","","","","0.00","80000.00","3","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","1","2023-10-07","","","21547","P090001943059","","0105556078229","241066227531802","2023-10-24","",""
"62","112000000TC112-6463327520231001","","","Completed","E","112","","","","ยื่นปกติ","0","0","0","","","","0.00","5000.00","","50.00","0.00","50.00","0.00","0.00","","","50.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","1","2023-10-07","","","21548","P090001943060","","0105556078229","241066227733082","2023-10-24","",""
"63","112TC112_TS4-4999_additonal20231001","","","Completed","Non-E","112","","","","ยื่นเพิ่มเติม","1","0","0","","TC112_TS4-4999_additonal","2023-08-15","20.00","3100.00","","11.00","0.00","11.00","0.00","0.00","","","11.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-10-10","","","25776","P090001945276","","0105556078229","241066296330992","2023-10-24","",""
"64","112TC112_TS4-4999_additonal20231001","","","Completed","E","112","","","","ยื่นเพิ่มเติม","2","0","0","112TC112_TS4-4999_additonal20231001","TC112_TS4-4999_additonal","2023-10-09","0.00","4000.00","","9.00","0.00","9.00","0.00","0.00","","","9.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-10-12","","","27722","P090001959436","82296610190150964409","0105556078229","261076231130222","2023-10-26","",""
"65","0120000000TC12-6463327520231001","","","Completed","Non-E","12","","","","ยื่นปกติ","0","0","0","","","","0.00","10000.00","","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","1","2023-10-07","","","21549","P090001943061","","0105556078229","241066227932742","2023-10-24","",""
"66","0130000000TC13-6463327520231001","","","Completed","Non-E","13","","","","ยื่นปกติ","0","0","0","","","","0.00","1000000.00","","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","1","2023-10-07","","","20923","P090001942442","","0105556078229","241066216732022","2023-10-24","",""
"67","0140000000TC14-160923_22023090301","","","Completed","E","14","","","","ยื่นเพิ่มเติม","1","0","0","0140000000TC14-160923_22023090301","TC14-160923_2","2023-09-19","0.00","15000.00","1","10.00","0.00","10.00","0.00","0.00","","","10.00","1","-1","","","","","","","","","","","","","","","","","","","additional","3","2023-10-18","","","25503","P090001944707","","0105556078229","011066389733302","2023-11-01","",""
"68","0140000000TC14-6463327520231001","","","Completed","E","14","","","","ยื่นปกติ","0","0","0","","","","0.00","50000.00","1","30.00","0.00","30.00","0.00","0.00","","","30.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","1","2023-10-07","","","21021","P090001943063","","0105556078229","241066228329792","2023-10-24","",""
"69","014TC14_TS11-949_Hybrid20231001","","","Completed","E","14","","","","ยื่นปกติ","0","0","0","","","","0.00","9000.00","1","20.00","0.00","20.00","0.00","0.00","","","20.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","2","2023-10-14","","","25817","P090001957373","82296610180134963257","0105556078229","301076204126082","2023-10-30","",""
